classifier,Accuracy,Accuracy Std,Precision,Precision Std,Recall,Recall Std,F1,F1 Std,G-Mean,G-Mean Std,ROC AUC
DT,0.5056179775280899,0.4999684373322919,0.23076923076923078,0.3014923115730053,0.391304347826087,0.3014923115730053,0.2903225806451613,0.3014923115730053,0.4619943021054108,0.4999684373322919,0.5405138339920948
GB,0.5842696629213483,0.4928474651564339,0.23076923076923078,0.2507406022968697,0.2608695652173913,0.2507406022968697,0.24489795918367346,0.2507406022968697,0.4264014327112209,0.4928474651564339,0.5606060606060607
LR,0.5280898876404494,0.49921033464096765,0.24324324324324326,0.3014923115730053,0.391304347826087,0.3014923115730053,0.30000000000000004,0.3014923115730053,0.47465402419841235,0.49921033464096765,0.5019762845849802
MLP,0.5955056179775281,0.49079392512003495,0.3142857142857143,0.32911951721071486,0.4782608695652174,0.32911951721071486,0.3793103448275862,0.32911951721071486,0.5516772843673704,0.49079392512003495,0.6462450592885376
NB,0.5955056179775281,0.49079392512003495,0.30303030303030304,0.31580829938326277,0.43478260869565216,0.31580829938326277,0.35714285714285715,0.31580829938326277,0.5322287639544678,0.49079392512003495,0.4683794466403162
RF,0.5393258426966292,0.49845107893974905,0.21875,0.2691943494541784,0.30434782608695654,0.2691943494541784,0.2545454545454546,0.2691943494541784,0.4348155455245087,0.49845107893974905,0.48550724637681164
SVM,0.7303370786516854,0.44378466647486514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44378466647486514,0.06488801054018442
KNN,0.6179775280898876,0.48588198450426184,0.37209302325581395,0.38400016832887784,0.6956521739130435,0.38400016832887784,0.48484848484848486,0.38400016832887784,0.6411452204266124,0.48588198450426184,0.6235177865612648
AB,0.5842696629213483,0.4928474651564339,0.18181818181818182,0.20718077432118848,0.17391304347826086,0.20718077432118848,0.17777777777777776,0.20718077432118848,0.35564337957950964,0.4928474651564339,0.4670619235836627
LSVM,0.5168539325842697,0.49971586422330533,0.2826086956521739,0.35317378978655534,0.5652173913043478,0.35317378978655534,0.3768115942028985,0.35317378978655534,0.531609533071195,0.49971586422330533,0.5013175230566534
