classifier,Accuracy,Accuracy Std,Precision,Precision Std,Recall,Recall Std,F1,F1 Std,G-Mean,G-Mean Std,ROC AUC
DT,0.7865168539325843,0.4097658995238308,0.5555555555555556,0.4173972049664429,0.8695652173913043,0.4173972049664429,0.6779661016949152,0.4173972049664429,0.8116412559294566,0.4097658995238308,0.7391304347826086
GB,0.6292134831460674,0.483015399105723,0.4107142857142857,0.4377698817702957,1.0,0.4377698817702957,0.5822784810126582,0.4377698817702957,0.7071067811865476,0.483015399105723,0.5
LR,0.6404494382022472,0.4798686854845533,0.3448275862068966,0.31580829938326277,0.43478260869565216,0.31580829938326277,0.38461538461538464,0.31580829938326277,0.556433211008806,0.4798686854845533,0.8017127799736495
MLP,0.6629213483146067,0.4727119992800591,0.4,0.36408655609032925,0.6086956521739131,0.36408655609032925,0.48275862068965525,0.36408655609032925,0.6442202750968412,0.4727119992800591,0.5237154150197628
NB,0.4943820224719101,0.4999684373322919,0.2608695652173913,0.34154346412518344,0.5217391304347826,0.34154346412518344,0.3478260869565218,0.34154346412518344,0.5029556907695452,0.4999684373322919,0.45388669301712775
RF,0.5280898876404494,0.4992103346409677,0.28888888888888886,0.35317378978655534,0.5652173913043478,0.35317378978655534,0.38235294117647056,0.35317378978655534,0.5396041099921511,0.4992103346409677,0.5434782608695652
SVM,0.5955056179775281,0.490793925120035,0.3142857142857143,0.32911951721071486,0.4782608695652174,0.32911951721071486,0.3793103448275862,0.32911951721071486,0.5516772843673704,0.490793925120035,0.48682476943346514
KNN,0.5617977528089888,0.4961663408049352,0.32608695652173914,0.37434452244848726,0.6521739130434783,0.37434452244848726,0.43478260869565216,0.37434452244848726,0.5880899611212059,0.4961663408049352,0.577733860342556
AB,0.4606741573033708,0.49845107893974905,0.20930232558139536,0.3014923115730054,0.391304347826087,0.3014923115730054,0.2727272727272727,0.3014923115730054,0.4355724051843767,0.49845107893974905,0.41765480895915685
LSVM,0.6404494382022472,0.4798686854845533,0.3448275862068966,0.31580829938326277,0.43478260869565216,0.31580829938326277,0.38461538461538464,0.31580829938326277,0.556433211008806,0.4798686854845533,0.7964426877470355
